categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
RO,1,Governança do Governo Digital,munic/MUNIC_TI_ESTRUTURA,munic,MUNIC_TI_ESTRUTURA,total,Estrutura organizacional de TI na prefeitura,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ACESS_IMAGENS,munic,MUNIC_ACESS_IMAGENS,total,Descrição do conteúdo das imagens,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ACESS_LIBRAS,munic,MUNIC_ACESS_LIBRAS,total,Tradução de conteúdo em LIBRAS,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ACESS_NAVEGACAO,munic,MUNIC_ACESS_NAVEGACAO,total,Navegação acessível por todos os itens interativos,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ACESS_SALTAR,munic,MUNIC_ACESS_SALTAR,total,Tecnologia assistiva para saltar itens repetitivos,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ATEND_DISTANCIA,munic,MUNIC_ATEND_DISTANCIA,total,Serviços de atendimento ao público a distância,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ATIV_REDES_DIVULGAR,munic,MUNIC_ATIV_REDES_DIVULGAR,total,Atividade em redes sociais — divulgar serviços/campanhas,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ATIV_REDES_NOTICIAS,munic,MUNIC_ATIV_REDES_NOTICIAS,total,Atividade em redes sociais — postar notícias,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_ATIV_REDES_RESPOSTAS,munic,MUNIC_ATIV_REDES_RESPOSTAS,total,Atividade em redes sociais — responder comentários,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_APP_OUTROS,munic,MUNIC_CELULAR_APP_OUTROS,total,Aplicativos criados por outros organismos,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_APP_PREF,munic,MUNIC_CELULAR_APP_PREF,total,Aplicativos criados pela prefeitura,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_BOLETOS,munic,MUNIC_CELULAR_BOLETOS,total,Emissão de boletos ou guias de pagamento,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_SMS_ENVIO,munic,MUNIC_CELULAR_SMS_ENVIO,total,Envio de SMS para o cidadão,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_SMS_RECEB,munic,MUNIC_CELULAR_SMS_RECEB,total,Recebimento de SMS pelo cidadão,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_CELULAR_WEBSITE_MOBILE,munic,MUNIC_CELULAR_WEBSITE_MOBILE,total,Website adaptado para dispositivos móveis,prop_0_100,prefeituras,0.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_PAGINA_INTERNET,munic,MUNIC_PAGINA_INTERNET,total,Prefeitura com página na Internet,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_REDES_SOCIAIS,munic,MUNIC_REDES_SOCIAIS,total,Prefeitura com perfil em plataformas online,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_CONCURSOS,munic,MUNIC_SERV_INFO_CONCURSOS,total,Serviço informativo — concursos públicos,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_DIARIO,munic,MUNIC_SERV_INFO_DIARIO,total,Serviço informativo — diário oficial,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_DOCUMENTOS,munic,MUNIC_SERV_INFO_DOCUMENTOS,total,Serviço informativo — acesso a documentos/formulários,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_LEGISLACAO,munic,MUNIC_SERV_INFO_LEGISLACAO,total,Serviço informativo — legislação municipal,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_LICITACOES,munic,MUNIC_SERV_INFO_LICITACOES,total,Serviço informativo — licitações,prop_0_100,prefeituras,100.0,2024
RO,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_INFO_NOTICIAS,munic,MUNIC_SERV_INFO_NOTICIAS,total,Serviço informativo na página — notícias,prop_0_100,prefeituras,100.0,2024
