categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
Total,1,Governança do Governo Digital,tic_gov/B1,tic_gov,B1,total,Área de TI,prop_0_100,ambos,67.8899,2023
Total,1,Governança do Governo Digital,iospd/IOSPD_I10,iospd,IOSPD_I10,total,Estratégia de governo digital (IOSPD I.10),indice_0_10,uf,48.14,2025
Total,1,Governança do Governo Digital,munic/MUNIC_TI_ESTRUTURA,munic,MUNIC_TI_ESTRUTURA,total,Estrutura organizacional de TI na prefeitura,prop_0_100,prefeituras,59.98,2024
Total,1,Governança do Governo Digital,igovsisp/G101GP,igovsisp,G101GP,total,Estruturas/diretrizes de governança de TIC,prop_0_100,orgaos_federais_sisp,86.32,2025
Total,1,Governança do Governo Digital,igovsisp/G102GP,igovsisp,G102GP,total,Planejamento alinhado à EFGD,prop_0_100,orgaos_federais_sisp,88.89,2025
Total,1,Governança do Governo Digital,igovsisp/G103GP,igovsisp,G103GP,total,Comitê de Governança Digital,prop_0_100,orgaos_federais_sisp,93.16,2025
Total,1,Governança do Governo Digital,igovsisp/G105GP,igovsisp,G105GP,total,Gerenciamento de projetos de TI,prop_0_100,orgaos_federais_sisp,72.65,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPE,igovsisp,G106GPE,total,PDTIC publicado,prop_0_100,orgaos_federais_sisp,94.06,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPG,igovsisp,G106GPG,total,Usa Guia PDTIC do SISP,prop_0_100,orgaos_federais_sisp,98.02,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPH,igovsisp,G106GPH,total,Revisão anual do PDTIC,prop_0_100,orgaos_federais_sisp,91.09,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPL,igovsisp,G106GPL,total,Estimou mínimo pessoal por competência,prop_0_100,orgaos_federais_sisp,43.07,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPN,igovsisp,G106GPN,total,"Analisou alternativas (IA, cloud)",prop_0_100,orgaos_federais_sisp,42.57,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPO,igovsisp,G106GPO,total,Detalhou capacitações e orçamentos,prop_0_100,orgaos_federais_sisp,45.79,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPP,igovsisp,G106GPP,total,Detalhou orçamento por contrato,prop_0_100,orgaos_federais_sisp,70.79,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPQ,igovsisp,G106GPQ,total,Detalhou riscos e tratamento,prop_0_100,orgaos_federais_sisp,58.17,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPR,igovsisp,G106GPR,total,Planejou metas intermediárias,prop_0_100,orgaos_federais_sisp,63.86,2025
Total,1,Governança do Governo Digital,igovsisp/G106GPS,igovsisp,G106GPS,total,Grau de execução do PDTIC,prop_0_100,orgaos_federais_sisp,44.55,2025
Total,1,Governança do Governo Digital,igovsisp/G107GP,igovsisp,G107GP,total,Orçamento adequado para necessidades de TI,prop_0_100,orgaos_federais_sisp,31.62,2025
Total,1,Governança do Governo Digital,igovsisp/G109GP,igovsisp,G109GP,total,Avaliação de políticas de TI no processo orçamentário,prop_0_100,orgaos_federais_sisp,48.29,2025
Total,1,Governança do Governo Digital,igovsisp/G111GP,igovsisp,G111GP,total,Framework para gestão de riscos de entregas de TI,prop_0_100,orgaos_federais_sisp,39.74,2025
Total,1,Governança do Governo Digital,igovsisp/G112GP,igovsisp,G112GP,total,Gestão eficiente de recursos de TI,prop_0_100,orgaos_federais_sisp,83.76,2025
Total,1,Governança do Governo Digital,igovsisp/G114GP,igovsisp,G114GP,total,Previsão orçamentária por cenários alternativos,prop_0_100,orgaos_federais_sisp,54.7,2025
Total,1,Governança do Governo Digital,igovsisp/G115GP,igovsisp,G115GP,total,Avaliações regulares de conformidade em TI,prop_0_100,orgaos_federais_sisp,51.28,2025
Total,1,Governança do Governo Digital,igovsisp/G116GP,igovsisp,G116GP,total,Registros precisos de ativos de TI,prop_0_100,orgaos_federais_sisp,73.5,2025
Total,1,Governança do Governo Digital,igovsisp/G146GP,igovsisp,G146GP,total,PEI/PDI com objetivos de TIC,prop_0_100,orgaos_federais_sisp,82.05,2025
Total,1,Governança do Governo Digital,igovsisp/G217SPD,igovsisp,G217SPD,total,Gestão de mudanças em TI,prop_0_100,orgaos_federais_sisp,68.38,2025
Total,1,Governança do Governo Digital,igovsisp/G504CTI,igovsisp,G504CTI,total,Portaria 750/2023 (software),prop_0_100,orgaos_federais_sisp,58.12,2025
Total,1,Governança do Governo Digital,igovsisp/G505CTI,igovsisp,G505CTI,total,Portaria 1.070/2023 (infraestrutura),prop_0_100,orgaos_federais_sisp,58.97,2025
Total,1,Governança do Governo Digital,igovsisp/G506CTI,igovsisp,G506CTI,total,Portaria 2.715/2023 (estações),prop_0_100,orgaos_federais_sisp,59.83,2025
Total,2,Qualidade dos Serviços Digitais,tic_gov/C1,tic_gov,C1,total,Presença de website,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,92.6303,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C3,tic_gov,C3,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",Tipos de serviço disponibilizados no website,prop_0_100,orgaos_com_website,83.2403,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C5B,tic_gov,C5B,"['A', 'B', 'C', 'D', 'E']",Meios de contato da central de atendimento,prop_0_100,prefeituras,84.5892,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_A,tic_gov,C6B,['A'],Envio de SMS para o cidadão,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,21.81475,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_B,tic_gov,C6B,['B'],Recebimento de SMS enviado pelo cidadão,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,20.701349999999998,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_C,tic_gov,C6B,['C'],Aplicativo criado pelo ente,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,36.00495,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_D,tic_gov,C6B,['D'],Website adaptado para dispositivos móveis,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,71.51735,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_E,tic_gov,C6B,['E'],Envio de mensagens por WhatsApp ou Telegram,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,48.4256,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_CHATBOT,tic_gov,E1,['CHATBOT'],Atendimento automatizado por assistente virtual ou chatbot,prop_0_100,orgaos_e_prefeituras_com_website,13.842600000000001,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_COMPLAINT,tic_gov,E1,['COMPLAINT'],Denúncia online como forma de contato,prop_0_100,orgaos_e_prefeituras_com_website,69.4817,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_EMAIL,tic_gov,E1,['EMAIL'],Endereço de e-mail como forma de contato,prop_0_100,orgaos_e_prefeituras_com_website,95.67715,2023
