categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
RO,1,Governança do Governo Digital,100.0,77.43,7
RO,2,Qualidade dos Serviços Digitais,67.33,77.43,7
RO,3,Identificação Única,100.0,77.43,7
RO,4,Segurança e LGPD,100.0,77.43,7
RO,5,Dados e Interoperabilidade,0.0,77.43,7
RO,6,Infraestrutura,85.8,77.43,7
RO,7,Inovação e Tecnologias Emergentes,,77.43,7
RO,8,Eficiência e Processos,,77.43,7
RO,9,Transparência e Participação,88.89,77.43,7
RO,10,Competências em Governo Digital,,77.43,7
AC,1,Governança do Governo Digital,100.0,47.09,7
AC,2,Qualidade dos Serviços Digitais,46.67,47.09,7
AC,3,Identificação Única,0.0,47.09,7
AC,4,Segurança e LGPD,20.0,47.09,7
AC,5,Dados e Interoperabilidade,0.0,47.09,7
AC,6,Infraestrutura,85.16,47.09,7
AC,7,Inovação e Tecnologias Emergentes,,47.09,7
AC,8,Eficiência e Processos,,47.09,7
AC,9,Transparência e Participação,77.78,47.09,7
AC,10,Competências em Governo Digital,,47.09,7
AM,1,Governança do Governo Digital,100.0,96.48,7
AM,2,Qualidade dos Serviços Digitais,89.33,96.48,7
AM,3,Identificação Única,100.0,96.48,7
AM,4,Segurança e LGPD,100.0,96.48,7
AM,5,Dados e Interoperabilidade,100.0,96.48,7
AM,6,Infraestrutura,97.12,96.48,7
AM,7,Inovação e Tecnologias Emergentes,,96.48,7
AM,8,Eficiência e Processos,,96.48,7
AM,9,Transparência e Participação,88.89,96.48,7
AM,10,Competências em Governo Digital,,96.48,7
RR,1,Governança do Governo Digital,100.0,62.31,7
RR,2,Qualidade dos Serviços Digitais,83.33,62.31,7
RR,3,Identificação Única,100.0,62.31,7
RR,4,Segurança e LGPD,40.0,62.31,7
RR,5,Dados e Interoperabilidade,0.0,62.31,7
RR,6,Infraestrutura,46.16,62.31,7
RR,7,Inovação e Tecnologias Emergentes,,62.31,7
RR,8,Eficiência e Processos,,62.31,7
RR,9,Transparência e Participação,66.67,62.31,7
RR,10,Competências em Governo Digital,,62.31,7
PA,1,Governança do Governo Digital,100.0,58.12,7
PA,2,Qualidade dos Serviços Digitais,75.33,58.12,7
PA,3,Identificação Única,100.0,58.12,7
PA,4,Segurança e LGPD,0.0,58.12,7
PA,5,Dados e Interoperabilidade,0.0,58.12,7
PA,6,Infraestrutura,75.98,58.12,7
PA,7,Inovação e Tecnologias Emergentes,,58.12,7
PA,8,Eficiência e Processos,,58.12,7
PA,9,Transparência e Participação,55.56,58.12,7
PA,10,Competências em Governo Digital,,58.12,7
AP,1,Governança do Governo Digital,100.0,86.55,7
AP,2,Qualidade dos Serviços Digitais,93.33,86.55,7
AP,3,Identificação Única,100.0,86.55,7
AP,4,Segurança e LGPD,60.0,86.55,7
AP,5,Dados e Interoperabilidade,100.0,86.55,7
AP,6,Infraestrutura,74.72,86.55,7
AP,7,Inovação e Tecnologias Emergentes,,86.55,7
AP,8,Eficiência e Processos,,86.55,7
AP,9,Transparência e Participação,77.78,86.55,7
AP,10,Competências em Governo Digital,,86.55,7
TO,1,Governança do Governo Digital,100.0,60.28,7
TO,2,Qualidade dos Serviços Digitais,57.33,60.28,7
TO,3,Identificação Única,100.0,60.28,7
TO,4,Segurança e LGPD,40.0,60.28,7
TO,5,Dados e Interoperabilidade,0.0,60.28,7
TO,6,Infraestrutura,46.85,60.28,7
TO,7,Inovação e Tecnologias Emergentes,,60.28,7
TO,8,Eficiência e Processos,,60.28,7
TO,9,Transparência e Participação,77.78,60.28,7
TO,10,Competências em Governo Digital,,60.28,7
MA,1,Governança do Governo Digital,100.0,82.62,7
MA,2,Qualidade dos Serviços Digitais,85.33,82.62,7
MA,3,Identificação Única,100.0,82.62,7
MA,4,Segurança e LGPD,60.0,82.62,7
MA,5,Dados e Interoperabilidade,100.0,82.62,7
MA,6,Infraestrutura,66.34,82.62,7
MA,7,Inovação e Tecnologias Emergentes,,82.62,7
