categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
RO,1,Governança do Governo Digital,100.0,71.6,9
RO,2,Qualidade dos Serviços Digitais,73.69,71.6,9
RO,3,Identificação Única,100.0,71.6,9
RO,4,Segurança e LGPD,0.0,71.6,9
RO,5,Dados e Interoperabilidade,50.0,71.6,9
RO,6,Infraestrutura,100.0,71.6,9
RO,7,Inovação e Tecnologias Emergentes,100.0,71.6,9
RO,8,Eficiência e Processos,100.0,71.6,9
RO,9,Transparência e Participação,20.74,71.6,9
RO,10,Competências em Governo Digital,,71.6,9
AC,1,Governança do Governo Digital,100.0,74.55,9
AC,2,Qualidade dos Serviços Digitais,85.19,74.55,9
AC,3,Identificação Única,100.0,74.55,9
AC,4,Segurança e LGPD,60.0,74.55,9
AC,5,Dados e Interoperabilidade,75.0,74.55,9
AC,6,Infraestrutura,50.0,74.55,9
AC,7,Inovação e Tecnologias Emergentes,40.0,74.55,9
AC,8,Eficiência e Processos,100.0,74.55,9
AC,9,Transparência e Participação,60.76,74.55,9
AC,10,Competências em Governo Digital,,74.55,9
AM,1,Governança do Governo Digital,0.0,38.14,9
AM,2,Qualidade dos Serviços Digitais,33.56,38.14,9
AM,3,Identificação Única,50.0,38.14,9
AM,4,Segurança e LGPD,60.0,38.14,9
AM,5,Dados e Interoperabilidade,19.64,38.14,9
AM,6,Infraestrutura,50.0,38.14,9
AM,7,Inovação e Tecnologias Emergentes,60.0,38.14,9
AM,8,Eficiência e Processos,0.0,38.14,9
AM,9,Transparência e Participação,70.02,38.14,9
AM,10,Competências em Governo Digital,,38.14,9
RR,1,Governança do Governo Digital,0.0,34.96,9
RR,2,Qualidade dos Serviços Digitais,30.83,34.96,9
RR,3,Identificação Única,66.65,34.96,9
RR,4,Segurança e LGPD,40.0,34.96,9
RR,5,Dados e Interoperabilidade,12.5,34.96,9
RR,6,Infraestrutura,50.0,34.96,9
RR,7,Inovação e Tecnologias Emergentes,60.0,34.96,9
RR,8,Eficiência e Processos,0.0,34.96,9
RR,9,Transparência e Participação,54.66,34.96,9
RR,10,Competências em Governo Digital,,34.96,9
PA,1,Governança do Governo Digital,33.3,58.15,9
PA,2,Qualidade dos Serviços Digitais,43.61,58.15,9
PA,3,Identificação Única,50.0,58.15,9
PA,4,Segurança e LGPD,100.0,58.15,9
PA,5,Dados e Interoperabilidade,25.0,58.15,9
PA,6,Infraestrutura,100.0,58.15,9
PA,7,Inovação e Tecnologias Emergentes,20.0,58.15,9
PA,8,Eficiência e Processos,100.0,58.15,9
PA,9,Transparência e Participação,51.42,58.15,9
PA,10,Competências em Governo Digital,,58.15,9
AP,1,Governança do Governo Digital,33.3,60.63,9
AP,2,Qualidade dos Serviços Digitais,56.68,60.63,9
AP,3,Identificação Única,100.0,60.63,9
AP,4,Segurança e LGPD,80.0,60.63,9
AP,5,Dados e Interoperabilidade,12.5,60.63,9
AP,6,Infraestrutura,100.0,60.63,9
AP,7,Inovação e Tecnologias Emergentes,80.0,60.63,9
AP,8,Eficiência e Processos,0.0,60.63,9
AP,9,Transparência e Participação,83.17,60.63,9
AP,10,Competências em Governo Digital,,60.63,9
TO,1,Governança do Governo Digital,100.0,63.78,9
TO,2,Qualidade dos Serviços Digitais,78.4,63.78,9
TO,3,Identificação Única,50.0,63.78,9
TO,4,Segurança e LGPD,80.0,63.78,9
TO,5,Dados e Interoperabilidade,28.57,63.78,9
TO,6,Infraestrutura,50.0,63.78,9
TO,7,Inovação e Tecnologias Emergentes,40.0,63.78,9
TO,8,Eficiência e Processos,100.0,63.78,9
TO,9,Transparência e Participação,47.0,63.78,9
TO,10,Competências em Governo Digital,,63.78,9
MA,1,Governança do Governo Digital,0.0,58.23,9
MA,2,Qualidade dos Serviços Digitais,48.95,58.23,9
MA,3,Identificação Única,50.0,58.23,9
MA,4,Segurança e LGPD,60.0,58.23,9
MA,5,Dados e Interoperabilidade,25.0,58.23,9
MA,6,Infraestrutura,100.0,58.23,9
MA,7,Inovação e Tecnologias Emergentes,80.0,58.23,9
MA,8,Eficiência e Processos,100.0,58.23,9
MA,9,Transparência e Participação,60.11,58.23,9
MA,10,Competências em Governo Digital,,58.23,9
PI,1,Governança do Governo Digital,100.0,93.76,9
PI,2,Qualidade dos Serviços Digitais,92.65,93.76,9
PI,3,Identificação Única,100.0,93.76,9
PI,4,Segurança e LGPD,100.0,93.76,9
PI,5,Dados e Interoperabilidade,66.07,93.76,9
PI,6,Infraestrutura,100.0,93.76,9
PI,7,Inovação e Tecnologias Emergentes,100.0,93.76,9
