nivel,unidade,unidade_nome,objetivo,objetivo_nome,ano_indice,sub_indice,indice_geral,n_objetivos_com_dados,posicao_no_objetivo
nacional,BR,Brasil,1,Governança do Governo Digital,,65.25,57.89,10.0,1
nacional,BR,Brasil,2,Qualidade dos Serviços Digitais,,59.91,57.89,10.0,1
nacional,BR,Brasil,3,Identificação Única,,48.98,57.89,10.0,1
nacional,BR,Brasil,4,Segurança e LGPD,,43.19,57.89,10.0,1
nacional,BR,Brasil,5,Dados e Interoperabilidade,,61.11,57.89,10.0,1
nacional,BR,Brasil,6,Infraestrutura,,57.95,57.89,10.0,1
nacional,BR,Brasil,7,Inovação e Tecnologias Emergentes,,54.83,57.89,10.0,1
nacional,BR,Brasil,8,Eficiência e Processos,,67.0,57.89,10.0,1
nacional,BR,Brasil,9,Transparência e Participação,,54.82,57.89,10.0,1
nacional,BR,Brasil,10,Competências em Governo Digital,,65.87,57.89,10.0,1
uf,RO,Rondônia,1,Governança do Governo Digital,,100.0,71.6,9.0,1
uf,RO,Rondônia,2,Qualidade dos Serviços Digitais,,73.69,71.6,9.0,12
uf,RO,Rondônia,3,Identificação Única,,100.0,71.6,9.0,1
uf,RO,Rondônia,4,Segurança e LGPD,,0.0,71.6,9.0,27
uf,RO,Rondônia,5,Dados e Interoperabilidade,,50.0,71.6,9.0,13
uf,RO,Rondônia,6,Infraestrutura,,100.0,71.6,9.0,1
uf,RO,Rondônia,7,Inovação e Tecnologias Emergentes,,100.0,71.6,9.0,1
uf,RO,Rondônia,8,Eficiência e Processos,,100.0,71.6,9.0,1
uf,RO,Rondônia,9,Transparência e Participação,,20.74,71.6,9.0,27
uf,AC,Acre,1,Governança do Governo Digital,,100.0,74.55,9.0,1
uf,AC,Acre,2,Qualidade dos Serviços Digitais,,85.19,74.55,9.0,5
uf,AC,Acre,3,Identificação Única,,100.0,74.55,9.0,1
uf,AC,Acre,4,Segurança e LGPD,,60.0,74.55,9.0,17
uf,AC,Acre,5,Dados e Interoperabilidade,,75.0,74.55,9.0,2
uf,AC,Acre,6,Infraestrutura,,50.0,74.55,9.0,17
uf,AC,Acre,7,Inovação e Tecnologias Emergentes,,40.0,74.55,9.0,23
uf,AC,Acre,8,Eficiência e Processos,,100.0,74.55,9.0,1
uf,AC,Acre,9,Transparência e Participação,,60.76,74.55,9.0,15
uf,AM,Amazonas,1,Governança do Governo Digital,,0.0,38.14,9.0,18
uf,AM,Amazonas,2,Qualidade dos Serviços Digitais,,33.56,38.14,9.0,25
uf,AM,Amazonas,3,Identificação Única,,50.0,38.14,9.0,19
uf,AM,Amazonas,4,Segurança e LGPD,,60.0,38.14,9.0,17
uf,AM,Amazonas,5,Dados e Interoperabilidade,,19.64,38.14,9.0,18
uf,AM,Amazonas,6,Infraestrutura,,50.0,38.14,9.0,17
uf,AM,Amazonas,7,Inovação e Tecnologias Emergentes,,60.0,38.14,9.0,20
uf,AM,Amazonas,8,Eficiência e Processos,,0.0,38.14,9.0,20
uf,AM,Amazonas,9,Transparência e Participação,,70.02,38.14,9.0,10
uf,RR,Roraima,1,Governança do Governo Digital,,0.0,34.96,9.0,18
uf,RR,Roraima,2,Qualidade dos Serviços Digitais,,30.83,34.96,9.0,26
uf,RR,Roraima,3,Identificação Única,,66.65,34.96,9.0,14
uf,RR,Roraima,4,Segurança e LGPD,,40.0,34.96,9.0,22
uf,RR,Roraima,5,Dados e Interoperabilidade,,12.5,34.96,9.0,23
uf,RR,Roraima,6,Infraestrutura,,50.0,34.96,9.0,17
uf,RR,Roraima,7,Inovação e Tecnologias Emergentes,,60.0,34.96,9.0,20
uf,RR,Roraima,8,Eficiência e Processos,,0.0,34.96,9.0,20
uf,RR,Roraima,9,Transparência e Participação,,54.66,34.96,9.0,20
uf,PA,Pará,1,Governança do Governo Digital,,33.3,58.15,9.0,12
uf,PA,Pará,2,Qualidade dos Serviços Digitais,,43.61,58.15,9.0,22
uf,PA,Pará,3,Identificação Única,,50.0,58.15,9.0,19
uf,PA,Pará,4,Segurança e LGPD,,100.0,58.15,9.0,1
uf,PA,Pará,5,Dados e Interoperabilidade,,25.0,58.15,9.0,16
uf,PA,Pará,6,Infraestrutura,,100.0,58.15,9.0,1
uf,PA,Pará,7,Inovação e Tecnologias Emergentes,,20.0,58.15,9.0,27
uf,PA,Pará,8,Eficiência e Processos,,100.0,58.15,9.0,1
uf,PA,Pará,9,Transparência e Participação,,51.42,58.15,9.0,23
uf,AP,Amapá,1,Governança do Governo Digital,,33.3,60.63,9.0,12
uf,AP,Amapá,2,Qualidade dos Serviços Digitais,,56.68,60.63,9.0,18
uf,AP,Amapá,3,Identificação Única,,100.0,60.63,9.0,1
uf,AP,Amapá,4,Segurança e LGPD,,80.0,60.63,9.0,7
uf,AP,Amapá,5,Dados e Interoperabilidade,,12.5,60.63,9.0,23
uf,AP,Amapá,6,Infraestrutura,,100.0,60.63,9.0,1
uf,AP,Amapá,7,Inovação e Tecnologias Emergentes,,80.0,60.63,9.0,10
uf,AP,Amapá,8,Eficiência e Processos,,0.0,60.63,9.0,20
uf,AP,Amapá,9,Transparência e Participação,,83.17,60.63,9.0,4
uf,TO,Tocantins,1,Governança do Governo Digital,,100.0,63.78,9.0,1
uf,TO,Tocantins,2,Qualidade dos Serviços Digitais,,78.4,63.78,9.0,10
uf,TO,Tocantins,3,Identificação Única,,50.0,63.78,9.0,19
uf,TO,Tocantins,4,Segurança e LGPD,,80.0,63.78,9.0,7
uf,TO,Tocantins,5,Dados e Interoperabilidade,,28.57,63.78,9.0,15
uf,TO,Tocantins,6,Infraestrutura,,50.0,63.78,9.0,17
uf,TO,Tocantins,7,Inovação e Tecnologias Emergentes,,40.0,63.78,9.0,23
uf,TO,Tocantins,8,Eficiência e Processos,,100.0,63.78,9.0,1
