categoria,objetivo,objetivo_nome,sub_indice,n_objetivos_com_dados
1100122,1,Governança do Governo Digital,100.0,7
1100122,2,Qualidade dos Serviços Digitais,36.0,7
1100122,3,Identificação Única,0.0,7
1100122,4,Segurança e LGPD,20.0,7
1100122,5,Dados e Interoperabilidade,0.0,7
1100122,6,Infraestrutura,47.35,7
1100122,7,Inovação e Tecnologias Emergentes,,7
1100122,8,Eficiência e Processos,,7
1100122,9,Transparência e Participação,66.67,7
1100122,10,Competências em Governo Digital,,7
1100205,1,Governança do Governo Digital,100.0,7
1100205,2,Qualidade dos Serviços Digitais,67.33,7
1100205,3,Identificação Única,100.0,7
1100205,4,Segurança e LGPD,100.0,7
1100205,5,Dados e Interoperabilidade,0.0,7
1100205,6,Infraestrutura,85.8,7
1100205,7,Inovação e Tecnologias Emergentes,,7
1100205,8,Eficiência e Processos,,7
1100205,9,Transparência e Participação,88.89,7
1100205,10,Competências em Governo Digital,,7
1200401,1,Governança do Governo Digital,100.0,7
1200401,2,Qualidade dos Serviços Digitais,46.67,7
1200401,3,Identificação Única,0.0,7
1200401,4,Segurança e LGPD,20.0,7
1200401,5,Dados e Interoperabilidade,0.0,7
1200401,6,Infraestrutura,85.16,7
1200401,7,Inovação e Tecnologias Emergentes,,7
1200401,8,Eficiência e Processos,,7
1200401,9,Transparência e Participação,77.78,7
1200401,10,Competências em Governo Digital,,7
1301902,1,Governança do Governo Digital,100.0,7
1301902,2,Qualidade dos Serviços Digitais,36.67,7
1301902,3,Identificação Única,0.0,7
1301902,4,Segurança e LGPD,0.0,7
1301902,5,Dados e Interoperabilidade,0.0,7
1301902,6,Infraestrutura,50.66,7
1301902,7,Inovação e Tecnologias Emergentes,,7
1301902,8,Eficiência e Processos,,7
1301902,9,Transparência e Participação,11.11,7
1301902,10,Competências em Governo Digital,,7
1302504,1,Governança do Governo Digital,100.0,7
1302504,2,Qualidade dos Serviços Digitais,31.33,7
1302504,3,Identificação Única,0.0,7
1302504,4,Segurança e LGPD,0.0,7
1302504,5,Dados e Interoperabilidade,100.0,7
1302504,6,Infraestrutura,50.78,7
1302504,7,Inovação e Tecnologias Emergentes,,7
1302504,8,Eficiência e Processos,,7
1302504,9,Transparência e Participação,44.44,7
1302504,10,Competências em Governo Digital,,7
1302603,1,Governança do Governo Digital,100.0,7
1302603,2,Qualidade dos Serviços Digitais,89.33,7
1302603,3,Identificação Única,100.0,7
1302603,4,Segurança e LGPD,100.0,7
1302603,5,Dados e Interoperabilidade,100.0,7
1302603,6,Infraestrutura,97.12,7
1302603,7,Inovação e Tecnologias Emergentes,,7
1302603,8,Eficiência e Processos,,7
1302603,9,Transparência e Participação,88.89,7
1302603,10,Competências em Governo Digital,,7
1400100,1,Governança do Governo Digital,100.0,7
1400100,2,Qualidade dos Serviços Digitais,83.33,7
1400100,3,Identificação Única,100.0,7
1400100,4,Segurança e LGPD,40.0,7
1400100,5,Dados e Interoperabilidade,0.0,7
1400100,6,Infraestrutura,46.16,7
1400100,7,Inovação e Tecnologias Emergentes,,7
1400100,8,Eficiência e Processos,,7
1400100,9,Transparência e Participação,66.67,7
1400100,10,Competências em Governo Digital,,7
1500107,1,Governança do Governo Digital,100.0,7
1500107,2,Qualidade dos Serviços Digitais,53.33,7
1500107,3,Identificação Única,0.0,7
1500107,4,Segurança e LGPD,20.0,7
1500107,5,Dados e Interoperabilidade,0.0,7
1500107,6,Infraestrutura,31.87,7
1500107,7,Inovação e Tecnologias Emergentes,,7
1500107,8,Eficiência e Processos,,7
1500107,9,Transparência e Participação,44.44,7
1500107,10,Competências em Governo Digital,,7
1500602,1,Governança do Governo Digital,100.0,7
1500602,2,Qualidade dos Serviços Digitais,60.67,7
1500602,3,Identificação Única,100.0,7
1500602,4,Segurança e LGPD,40.0,7
1500602,5,Dados e Interoperabilidade,0.0,7
1500602,6,Infraestrutura,31.86,7
1500602,7,Inovação e Tecnologias Emergentes,,7
1500602,8,Eficiência e Processos,,7
1500602,9,Transparência e Participação,66.67,7
1500602,10,Competências em Governo Digital,,7
1500800,1,Governança do Governo Digital,100.0,7
1500800,2,Qualidade dos Serviços Digitais,84.67,7
1500800,3,Identificação Única,100.0,7
1500800,4,Segurança e LGPD,0.0,7
1500800,5,Dados e Interoperabilidade,100.0,7
1500800,6,Infraestrutura,65.08,7
1500800,7,Inovação e Tecnologias Emergentes,,7
1500800,8,Eficiência e Processos,,7
1500800,9,Transparência e Participação,66.67,7
1500800,10,Competências em Governo Digital,,7
1501303,1,Governança do Governo Digital,100.0,7
1501303,2,Qualidade dos Serviços Digitais,66.0,7
1501303,3,Identificação Única,100.0,7
1501303,4,Segurança e LGPD,0.0,7
1501303,5,Dados e Interoperabilidade,0.0,7
1501303,6,Infraestrutura,55.03,7
1501303,7,Inovação e Tecnologias Emergentes,,7
1501303,8,Eficiência e Processos,,7
1501303,9,Transparência e Participação,44.44,7
1501303,10,Competências em Governo Digital,,7
1501402,1,Governança do Governo Digital,100.0,7
1501402,2,Qualidade dos Serviços Digitais,75.33,7
1501402,3,Identificação Única,100.0,7
1501402,4,Segurança e LGPD,0.0,7
1501402,5,Dados e Interoperabilidade,0.0,7
1501402,6,Infraestrutura,75.98,7
1501402,7,Inovação e Tecnologias Emergentes,,7
1501402,8,Eficiência e Processos,,7
1501402,9,Transparência e Participação,55.56,7
1501402,10,Competências em Governo Digital,,7
1501709,1,Governança do Governo Digital,100.0,7
1501709,2,Qualidade dos Serviços Digitais,48.0,7
1501709,3,Identificação Única,100.0,7
1501709,4,Segurança e LGPD,20.0,7
1501709,5,Dados e Interoperabilidade,0.0,7
1501709,6,Infraestrutura,23.47,7
1501709,7,Inovação e Tecnologias Emergentes,,7
1501709,8,Eficiência e Processos,,7
1501709,9,Transparência e Participação,55.56,7
1501709,10,Competências em Governo Digital,,7
1501808,1,Governança do Governo Digital,0.0,7
1501808,2,Qualidade dos Serviços Digitais,33.33,7
1501808,3,Identificação Única,0.0,7
1501808,4,Segurança e LGPD,0.0,7
1501808,5,Dados e Interoperabilidade,0.0,7
1501808,6,Infraestrutura,38.15,7
1501808,7,Inovação e Tecnologias Emergentes,,7
1501808,8,Eficiência e Processos,,7
1501808,9,Transparência e Participação,55.56,7
1501808,10,Competências em Governo Digital,,7
1502103,1,Governança do Governo Digital,100.0,7
1502103,2,Qualidade dos Serviços Digitais,52.67,7
1502103,3,Identificação Única,0.0,7
1502103,4,Segurança e LGPD,0.0,7
1502103,5,Dados e Interoperabilidade,0.0,7
1502103,6,Infraestrutura,30.49,7
1502103,7,Inovação e Tecnologias Emergentes,,7
1502103,8,Eficiência e Processos,,7
1502103,9,Transparência e Participação,33.33,7
1502103,10,Competências em Governo Digital,,7
1502400,1,Governança do Governo Digital,100.0,7
1502400,2,Qualidade dos Serviços Digitais,60.67,7
1502400,3,Identificação Única,100.0,7
1502400,4,Segurança e LGPD,20.0,7
1502400,5,Dados e Interoperabilidade,100.0,7
1502400,6,Infraestrutura,55.76,7
1502400,7,Inovação e Tecnologias Emergentes,,7
1502400,8,Eficiência e Processos,,7
1502400,9,Transparência e Participação,44.44,7
1502400,10,Competências em Governo Digital,,7
1503606,1,Governança do Governo Digital,100.0,7
1503606,2,Qualidade dos Serviços Digitais,68.67,7
1503606,3,Identificação Única,100.0,7
1503606,4,Segurança e LGPD,80.0,7
1503606,5,Dados e Interoperabilidade,100.0,7
1503606,6,Infraestrutura,32.6,7
1503606,7,Inovação e Tecnologias Emergentes,,7
1503606,8,Eficiência e Processos,,7
1503606,9,Transparência e Participação,66.67,7
1503606,10,Competências em Governo Digital,,7
1504208,1,Governança do Governo Digital,100.0,7
1504208,2,Qualidade dos Serviços Digitais,58.0,7
1504208,3,Identificação Única,0.0,7
1504208,4,Segurança e LGPD,60.0,7
1504208,5,Dados e Interoperabilidade,100.0,7
1504208,6,Infraestrutura,25.62,7
1504208,7,Inovação e Tecnologias Emergentes,,7
1504208,8,Eficiência e Processos,,7
1504208,9,Transparência e Participação,55.56,7
1504208,10,Competências em Governo Digital,,7
1504422,1,Governança do Governo Digital,0.0,7
1504422,2,Qualidade dos Serviços Digitais,76.0,7
1504422,3,Identificação Única,100.0,7
1504422,4,Segurança e LGPD,20.0,7
1504422,5,Dados e Interoperabilidade,0.0,7
1504422,6,Infraestrutura,54.96,7
1504422,7,Inovação e Tecnologias Emergentes,,7
1504422,8,Eficiência e Processos,,7
1504422,9,Transparência e Participação,33.33,7
1504422,10,Competências em Governo Digital,,7
1505502,1,Governança do Governo Digital,100.0,7
1505502,2,Qualidade dos Serviços Digitais,80.0,7
1505502,3,Identificação Única,100.0,7
1505502,4,Segurança e LGPD,20.0,7
1505502,5,Dados e Interoperabilidade,100.0,7
1505502,6,Infraestrutura,64.06,7
1505502,7,Inovação e Tecnologias Emergentes,,7
1505502,8,Eficiência e Processos,,7
1505502,9,Transparência e Participação,66.67,7
1505502,10,Competências em Governo Digital,,7
1505536,1,Governança do Governo Digital,100.0,7
1505536,2,Qualidade dos Serviços Digitais,70.67,7
1505536,3,Identificação Única,0.0,7
1505536,4,Segurança e LGPD,0.0,7
1505536,5,Dados e Interoperabilidade,100.0,7
1505536,6,Infraestrutura,76.57,7
1505536,7,Inovação e Tecnologias Emergentes,,7
1505536,8,Eficiência e Processos,,7
1505536,9,Transparência e Participação,66.67,7
1505536,10,Competências em Governo Digital,,7
1506807,1,Governança do Governo Digital,100.0,7
1506807,2,Qualidade dos Serviços Digitais,85.33,7
1506807,3,Identificação Única,100.0,7
1506807,4,Segurança e LGPD,80.0,7
1506807,5,Dados e Interoperabilidade,100.0,7
1506807,6,Infraestrutura,62.51,7
1506807,7,Inovação e Tecnologias Emergentes,,7
1506807,8,Eficiência e Processos,,7
1506807,9,Transparência e Participação,77.78,7
1506807,10,Competências em Governo Digital,,7
1600303,1,Governança do Governo Digital,100.0,7
1600303,2,Qualidade dos Serviços Digitais,93.33,7
1600303,3,Identificação Única,100.0,7
1600303,4,Segurança e LGPD,60.0,7
1600303,5,Dados e Interoperabilidade,100.0,7
1600303,6,Infraestrutura,74.72,7
1600303,7,Inovação e Tecnologias Emergentes,,7
1600303,8,Eficiência e Processos,,7
1600303,9,Transparência e Participação,77.78,7
1600303,10,Competências em Governo Digital,,7
1600600,1,Governança do Governo Digital,100.0,7
1600600,2,Qualidade dos Serviços Digitais,86.67,7
1600600,3,Identificação Única,100.0,7
1600600,4,Segurança e LGPD,60.0,7
1600600,5,Dados e Interoperabilidade,100.0,7
1600600,6,Infraestrutura,55.32,7
1600600,7,Inovação e Tecnologias Emergentes,,7
1600600,8,Eficiência e Processos,,7
1600600,9,Transparência e Participação,66.67,7
1600600,10,Competências em Governo Digital,,7
1702109,1,Governança do Governo Digital,100.0,7
1702109,2,Qualidade dos Serviços Digitais,90.0,7
1702109,3,Identificação Única,100.0,7
1702109,4,Segurança e LGPD,20.0,7
1702109,5,Dados e Interoperabilidade,100.0,7
1702109,6,Infraestrutura,57.62,7
1702109,7,Inovação e Tecnologias Emergentes,,7
1702109,8,Eficiência e Processos,,7
1702109,9,Transparência e Participação,55.56,7
1702109,10,Competências em Governo Digital,,7
1721000,1,Governança do Governo Digital,100.0,7
1721000,2,Qualidade dos Serviços Digitais,57.33,7
1721000,3,Identificação Única,100.0,7
1721000,4,Segurança e LGPD,40.0,7
1721000,5,Dados e Interoperabilidade,0.0,7
1721000,6,Infraestrutura,46.85,7
1721000,7,Inovação e Tecnologias Emergentes,,7
1721000,8,Eficiência e Processos,,7
1721000,9,Transparência e Participação,77.78,7
1721000,10,Competências em Governo Digital,,7
2100055,1,Governança do Governo Digital,100.0,7
2100055,2,Qualidade dos Serviços Digitais,67.33,7
2100055,3,Identificação Única,100.0,7
2100055,4,Segurança e LGPD,80.0,7
2100055,5,Dados e Interoperabilidade,100.0,7
2100055,6,Infraestrutura,55.25,7
2100055,7,Inovação e Tecnologias Emergentes,,7
2100055,8,Eficiência e Processos,,7
2100055,9,Transparência e Participação,55.56,7
2100055,10,Competências em Governo Digital,,7
2101202,1,Governança do Governo Digital,100.0,7
2101202,2,Qualidade dos Serviços Digitais,50.0,7
2101202,3,Identificação Única,0.0,7
2101202,4,Segurança e LGPD,40.0,7
2101202,5,Dados e Interoperabilidade,0.0,7
2101202,6,Infraestrutura,44.83,7
2101202,7,Inovação e Tecnologias Emergentes,,7
2101202,8,Eficiência e Processos,,7
2101202,9,Transparência e Participação,44.44,7
2101202,10,Competências em Governo Digital,,7
2101400,1,Governança do Governo Digital,100.0,7
2101400,2,Qualidade dos Serviços Digitais,62.67,7
2101400,3,Identificação Única,100.0,7
2101400,4,Segurança e LGPD,20.0,7
2101400,5,Dados e Interoperabilidade,0.0,7
2101400,6,Infraestrutura,55.09,7
2101400,7,Inovação e Tecnologias Emergentes,,7
2101400,8,Eficiência e Processos,,7
2101400,9,Transparência e Participação,77.78,7
2101400,10,Competências em Governo Digital,,7
2103000,1,Governança do Governo Digital,100.0,7
2103000,2,Qualidade dos Serviços Digitais,47.33,7
2103000,3,Identificação Única,0.0,7
2103000,4,Segurança e LGPD,20.0,7
2103000,5,Dados e Interoperabilidade,0.0,7
2103000,6,Infraestrutura,52.3,7
2103000,7,Inovação e Tecnologias Emergentes,,7
2103000,8,Eficiência e Processos,,7
2103000,9,Transparência e Participação,44.44,7
2103000,10,Competências em Governo Digital,,7
2103307,1,Governança do Governo Digital,100.0,7
2103307,2,Qualidade dos Serviços Digitais,31.33,7
2103307,3,Identificação Única,0.0,7
2103307,4,Segurança e LGPD,60.0,7
2103307,5,Dados e Interoperabilidade,0.0,7
2103307,6,Infraestrutura,52.46,7
2103307,7,Inovação e Tecnologias Emergentes,,7
2103307,8,Eficiência e Processos,,7
2103307,9,Transparência e Participação,33.33,7
2103307,10,Competências em Governo Digital,,7
2105302,1,Governança do Governo Digital,100.0,7
2105302,2,Qualidade dos Serviços Digitais,81.33,7
2105302,3,Identificação Única,100.0,7
2105302,4,Segurança e LGPD,20.0,7
2105302,5,Dados e Interoperabilidade,100.0,7
2105302,6,Infraestrutura,75.73,7
2105302,7,Inovação e Tecnologias Emergentes,,7
2105302,8,Eficiência e Processos,,7
2105302,9,Transparência e Participação,55.56,7
2105302,10,Competências em Governo Digital,,7
2107506,1,Governança do Governo Digital,100.0,7
2107506,2,Qualidade dos Serviços Digitais,73.33,7
2107506,3,Identificação Única,100.0,7
2107506,4,Segurança e LGPD,80.0,7
2107506,5,Dados e Interoperabilidade,0.0,7
2107506,6,Infraestrutura,64.16,7
2107506,7,Inovação e Tecnologias Emergentes,,7
2107506,8,Eficiência e Processos,,7
2107506,9,Transparência e Participação,55.56,7
2107506,10,Competências em Governo Digital,,7
2111201,1,Governança do Governo Digital,100.0,7
2111201,2,Qualidade dos Serviços Digitais,79.33,7
2111201,3,Identificação Única,100.0,7
2111201,4,Segurança e LGPD,0.0,7
2111201,5,Dados e Interoperabilidade,100.0,7
2111201,6,Infraestrutura,54.88,7
2111201,7,Inovação e Tecnologias Emergentes,,7
2111201,8,Eficiência e Processos,,7
2111201,9,Transparência e Participação,66.67,7
2111201,10,Competências em Governo Digital,,7
2111300,1,Governança do Governo Digital,100.0,7
2111300,2,Qualidade dos Serviços Digitais,85.33,7
2111300,3,Identificação Única,100.0,7
2111300,4,Segurança e LGPD,60.0,7
2111300,5,Dados e Interoperabilidade,100.0,7
2111300,6,Infraestrutura,66.34,7
2111300,7,Inovação e Tecnologias Emergentes,,7
2111300,8,Eficiência e Processos,,7
2111300,9,Transparência e Participação,66.67,7
2111300,10,Competências em Governo Digital,,7
2112209,1,Governança do Governo Digital,100.0,7
2112209,2,Qualidade dos Serviços Digitais,44.67,7
2112209,3,Identificação Única,0.0,7
2112209,4,Segurança e LGPD,20.0,7
2112209,5,Dados e Interoperabilidade,0.0,7
2112209,6,Infraestrutura,85.32,7
2112209,7,Inovação e Tecnologias Emergentes,,7
2112209,8,Eficiência e Processos,,7
2112209,9,Transparência e Participação,77.78,7
2112209,10,Competências em Governo Digital,,7
2207702,1,Governança do Governo Digital,100.0,7
2207702,2,Qualidade dos Serviços Digitais,54.67,7
2207702,3,Identificação Única,100.0,7
2207702,4,Segurança e LGPD,20.0,7
2207702,5,Dados e Interoperabilidade,100.0,7
2207702,6,Infraestrutura,35.28,7
2207702,7,Inovação e Tecnologias Emergentes,,7
2207702,8,Eficiência e Processos,,7
2207702,9,Transparência e Participação,66.67,7
2207702,10,Competências em Governo Digital,,7
2211001,1,Governança do Governo Digital,100.0,7
2211001,2,Qualidade dos Serviços Digitais,80.0,7
2211001,3,Identificação Única,100.0,7
2211001,4,Segurança e LGPD,100.0,7
2211001,5,Dados e Interoperabilidade,0.0,7
2211001,6,Infraestrutura,96.51,7
2211001,7,Inovação e Tecnologias Emergentes,,7
2211001,8,Eficiência e Processos,,7
2211001,9,Transparência e Participação,55.56,7
2211001,10,Competências em Governo Digital,,7
2303709,1,Governança do Governo Digital,100.0,7
2303709,2,Qualidade dos Serviços Digitais,82.0,7
2303709,3,Identificação Única,100.0,7
2303709,4,Segurança e LGPD,40.0,7
2303709,5,Dados e Interoperabilidade,0.0,7
2303709,6,Infraestrutura,66.55,7
