categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
Total,1,Governança do Governo Digital,65.25,57.89,10
Total,2,Qualidade dos Serviços Digitais,59.91,57.89,10
Total,3,Identificação Única,48.98,57.89,10
Total,4,Segurança e LGPD,43.19,57.89,10
Total,5,Dados e Interoperabilidade,61.11,57.89,10
Total,6,Infraestrutura,57.95,57.89,10
Total,7,Inovação e Tecnologias Emergentes,54.83,57.89,10
Total,8,Eficiência e Processos,67.0,57.89,10
Total,9,Transparência e Participação,54.82,57.89,10
Total,10,Competências em Governo Digital,65.87,57.89,10
